mol_id,smiles
gdb_33710,N#CC12C=CC3CC1C23
gdb_10249,C(=N)N(C=O)C(=N)N
gdb_100843,CCN(C)C(=NC)C=O
gdb_23260,CC1=CC2CC2C1=NO
gdb_36332,C#CCN1CC(C1)C#C
gdb_132195,Cc1nc(=O)cc(o1)F
gdb_85092,CC1CC(=O)C1(C)C#N
gdb_126009,CC1CNC2=C1NN=C2
gdb_41858,C1OCC2OC1CC=C2
gdb_59650,CC(O)C1CCC(O)C1
gdb_106122,COC12C3OC1C(O)C23
gdb_22331,C1C(=NO)C=C(C1=O)N
gdb_49531,O=CN1C2CC1C21CC1
gdb_18026,OCC1OC2COC12
gdb_70002,OC12CC1C1CCC2O1
gdb_34003,N#CC12CN1CC=CC2
gdb_37438,C1OC2C=CC1C1NC21
gdb_128854,COCCn1cnnc1
gdb_92918,CC1CC=CC(C1)C#C
gdb_29751,CC1C(C)C2=CN=CN12
gdb_77898,CC1C2C(O)C(C)C12C
gdb_81669,CC1C2CN1CC(=N)O2
gdb_70654,OC12CC1CCC2C#N
gdb_86376,CC12CC1C(O)CC2O
gdb_83604,CN1C2CCC2(O)C1=O
gdb_74098,CC1=CC(=O)C2CC1C2
gdb_107164,OCC12CC3(CO3)C1O2
gdb_100730,CCC(O)C([NH3+])C([O-])=O
gdb_125232,Cc1cc(=O)c(n[nH]1)C
gdb_22781,CC1NC(CO)C1=NO
gdb_5496,c1c(c(c[nH]1)N)C#N
gdb_84703,CC1C=CC2OCC=C12
gdb_75655,CC1C(=O)C2CC1(O)C2
gdb_71770,CC12CN3C4CN1C2C34
gdb_36133,N#CCC12NC1CC=C2
gdb_20027,COC1CC1C1CO1
gdb_100919,CCC(O)C(CC)C=O
gdb_119047,CCCC1(CC)CC1O
gdb_115901,COC1CCC2CC1C2
gdb_26960,c1[nH]c(c(n1)N2CC2)N
gdb_37747,C1N2C3C4OCCC13C24
gdb_8881,CCC(C)C(=O)CO
gdb_29294,c1c(nc(o1)N2CC2)N
gdb_102046,COC(C=O)C(=O)CO
gdb_26730,Cc1ccn(c1N)C=O
gdb_112168,CC1(C)C(CO)OC1=O
gdb_115163,CCC1OCC(=O)C1O
gdb_12027,CC1(CC2CC12)C#C
gdb_109522,CCN1C(C#C)C1C#C
gdb_26567,NC1=C(O)OC=CC1=N
gdb_123954,C1COc2c(n[nH]n2)N1
gdb_28188,c1nc2c(o1)oc(n2)N
gdb_124011,C1C=Cc2c(n[nH]n2)N1
gdb_1849,CC1=NCC(=O)N1
gdb_47328,C#CC1=CC(=O)CCC1
gdb_42135,C1CC=CCCCOC1
gdb_82841,OC1C2CC3OC1C23O
gdb_75305,CC1=CCC2CC1(C)O2
gdb_101180,CCC(O)C1C2CC1C2
gdb_92244,CC1CC2OC3COC123
gdb_116254,COC1CCCC1C#N
gdb_42044,C1CC2OCCOCC12
gdb_4848,Cc1cnc(o1)NC
gdb_132292,NC1=CC(=N)NC(F)=N1
gdb_3048,C1CC1OCC=O
gdb_97034,CN=C1CNC(=O)N1C
gdb_114014,COC1CC1COC=N
gdb_95911,CC1CCNC1(C)C#N
gdb_16727,C#CC1OC2CC2O1
gdb_51583,N=COC1CC1CC#N
gdb_10829,CC1CNC(=O)CN1
gdb_55029,NC(=O)C1CC1C1CC1
gdb_38496,C1C2N1CC13CC21OC3
gdb_99519,CCC(C#C)C(C)(C)O
gdb_28327,c1c(cn2c1NCC2)N
gdb_31471,COc1nc(co1)C#N
gdb_89877,CC1CC2(C1)OC2C=O
gdb_64519,CC1(C=O)C2C3CN1C23
gdb_74506,CC1=NC2(CC2O1)C#N
gdb_5164,N=COC1=NC=CN1
gdb_15750,N=COC(=O)C1CN1
gdb_28515,c1cc(c(cc1N)N)O
gdb_99021,CC(C)(C)OC(=O)CO
gdb_115160,CCC1COC(=O)N1C
gdb_113529,OCC1NC11COC1=O
gdb_118741,COCC1(C)CC(=N)O1
gdb_75179,CC1=CCC(OC1)C#C
gdb_121623,CCCCC(=O)N(C)C
gdb_73372,CC12COC3C(C1)OC23
gdb_19814,O=C1NC2C3OC3C12
gdb_112988,CCC1OC(C=O)C1=O
gdb_69349,CC12CC1C(O)(C2)C#N
gdb_53224,CC#CC1CC(C1)(C)C
gdb_125766,CC1=NOC(N)=CC1=N
gdb_68243,CC12CC(C1)C1OCC21
gdb_114274,OCC1CC23CN(C2)C13
gdb_35082,N#CC1C=CC2CC1C2
gdb_77544,CC1C2(O)CC1(C2)C#N
gdb_37001,C1=C2C3C4C5C1C5C2N34
gdb_52432,C(CC=O)CNCC#N
gdb_85582,CC1OC(=N)OCC1=O
gdb_21652,C(=O)c1[nH]nc(n1)N
gdb_18242,COC1=NCC2CN12
gdb_63487,CC1(O)CC1(O)CC#N
gdb_89961,CN1CC2(OCC12)C=O
gdb_70010,CC12NC1C1OCC=C21
gdb_45262,O=C1NC2CC3CN3C12
gdb_63576,CC1(C)CC11OCC=C1
gdb_4692,C#Cc1[nH]c(cn1)N
gdb_127187,CN(C=O)c1cnon1
gdb_130634,c1c2c(on1)CCC2=O
gdb_24441,c1[nH]c2c(n1)OCCC2
gdb_6602,CCC12CC(C)(C1)C2
gdb_20576,CC(O)C1=NOC=N1
gdb_44360,N=C1CN2CC3C(O1)C23
gdb_32432,Cc1c(c(c[nH]1)NC)O
gdb_40504,C1OC1C12CC3CC1N23
gdb_101260,CC(CO)C1CC1C#C
gdb_26357,CN(C)c1c[nH]cc1N
gdb_2171,OC1CNCC1=O
gdb_61516,CC(CC1(C)CN1)C#N
gdb_52174,N=COCC1CC(=O)N1
gdb_71459,OC12CN3C1C2OC3=N
gdb_40139,C1CC11CCC11CCO1
gdb_56994,OC(C#C)C1CC2OC12
gdb_44437,N=C1OC2C3CC1NC23
gdb_58211,CC(O)C(O)C(C)C#C
gdb_386,CCC(O)C=O
gdb_75880,CC1(C)CCC(=O)C1O
gdb_73901,CC1=C(CC(=O)N1)C#C
gdb_36940,C(C1CO1)C1OCCO1
gdb_10202,COCC(OC)C#N
gdb_90283,CC1NC2=CC(=N)OC12
gdb_38382,C1C2CC3(C4COC34)N12
gdb_17943,CC12C3CC1COC23
gdb_106277,CCC12CC(C)(C1)C2O
gdb_55738,CC(=N)OC12CN(C1)C2
gdb_40205,C1OC11COC2CCC12
gdb_133033,CCc1ccc(cc1)F
gdb_5501,Cc1c[nH]cc1C=O
gdb_98567,CNC(=O)C1=CCOC1
gdb_129333,c1c(nnnn1)NC=N
gdb_7256,CC(C)C(=O)NC=O
gdb_49648,O=CC1C2CC3OC2C13
gdb_39829,C1C2C1C1(CC1)C1CN21
gdb_45761,O=C1OC=NC1C1CC1
gdb_91024,CC1OC2C3NC3(C)C12
gdb_38273,C1N2CC11OCCCC21
gdb_54490,CC(=O)C12CC1OC2=N
gdb_66313,CC1(CCOC=O)CO1
gdb_77657,CC1C2(C)CCC12C=O
gdb_32780,Cc1c(cc[nH]1)CCO
